nombre_vsx,ra,dec,clase_variable
Gaia DR3 531246467646971008,0.02528,71.1483,ROT
Gaia DR3 2875125741589633024,0.0253,34.1758,L
Gaia DR3 2765345793389303424,0.02542,10.66095,S
Gaia DR3 420345326827977216,0.02564,54.58689,S
Gaia DR3 2772071265498290176,0.02586,15.12571,ROT
Gaia DR3 395742207967164928,0.02612,52.43696,ROT
Gaia DR3 387121830640309888,0.02628,46.56839,DSCT|GDOR|SXPHE
Gaia DR3 422766451432763776,0.02643,58.68901,ROT
Gaia DR3 2448242654209139712,0.02649,-2.71106,ROT
Gaia DR3 2747062495567580928,0.02655,8.6113,ROT
Gaia DR3 420382263546007808,0.02655,55.02672,ROT
Gaia DR3 393915296375781376,0.02667,50.24954,ROT
Gaia DR3 429519239538012032,0.02675,61.59758,ROT
Gaia DR3 422590632650806272,0.02689,57.56472,L
NADA-V29,0.02692,67.89717,DIP
Gaia DR3 387271398581395328,0.02704,47.56474,ROT
Gaia DR3 539728065982604032,0.02708,76.03084,S
ZTF J000006.50+630701.5,0.02711,63.11709,BY
Gaia DR3 2308089380188947584,0.02712,-35.89195,E
V0467 And,0.02718,35.36691,EW
Z Peg,0.02733,25.88647,M
Gaia DR3 2880081717237635072,0.02734,36.21282,E
Gaia DR3 2767032856543553280,0.02734,13.06568,ROT
Gaia DR3 2416047678141001216,0.02738,-15.49816,RRAB
ZTF J000006.64+675749.9,0.02767,67.96388,RS
V1023 Cas,0.02771,56.65331,RRAB
Gaia DR3 2881847399768995072,0.02772,39.57672,ROT
ZTF J000006.67+641227.6,0.0278,64.20768,EW
Gaia DR3 422625129828611840,0.02782,57.86864,ROT
Gaia DR3 429943616665815680,0.02786,62.43931,RS
Gaia DR3 422634505736171520,0.0281,58.11456,E
ZTF J000006.74+622003.8,0.0281,62.3344,BY
WD J0000-0046,0.02816,-0.78163,ZZA
Gaia DR3 393358982148729984,0.02819,48.80885,ROT
Gaia DR3 2747167361489107456,0.02844,9.18329,ROT
Gaia DR3 394018689132818816,0.0286,50.56284,ROT
Gaia DR3 429527996962537856,0.02864,61.77637,RS
Gaia DR3 2422513218829184896,0.02872,-10.86826,RR
EP Peg,0.02875,20.23736,SR
Gaia DR3 528987486647938432,0.02894,68.02881,ROT
ASASSN-V J000006.97-553903.0,0.02903,-55.65083,EW
Gaia DR3 423188247278822016,0.02907,59.41958,YSO
Gaia DR3 2745076537049647744,0.02919,5.74002,ROT
Gaia DR3 2420792178190529152,0.02919,-13.74265,ROT
ASASSN-V J000007.04+551730.5,0.02928,55.29184,SR
Gaia DR3 2873402974373197824,0.02931,30.78246,ROT
ZTF J000007.04+625552.3,0.02935,62.9312,EW
Gaia DR3 429528443639171072,0.02958,61.81113,ROT
Gaia DR3 539824857365849344,0.02974,76.23098,E
Gaia DR3 2442748772561995008,0.02977,-6.44486,ROT
Gaia DR3 423300917163878144,0.03032,59.9277,DSCT|GDOR|SXPHE
Gaia DR3 420898930932579072,0.03034,55.8756,ROT
DM Peg,0.03037,18.73808,EA/D:
Gaia DR3 421049151708078848,0.0305,56.90952,ROT
Gaia DR3 395575425797217664,0.03054,51.49551,ROT
ZTF J000007.35+681728.0,0.03065,68.29112,RS
Gaia DR3 565058065107910784,0.03071,80.30927,L
ASASSN-V J000007.42-622352.4,0.03091,-62.39788,L
Gaia DR3 430093700005972224,0.03099,63.41659,ROT
Gaia DR3 429484600612414464,0.03113,61.26505,DSCT|GDOR|SXPHE
Gaia DR3 384351782892714240,0.03113,42.4836,ROT
Gaia DR3 429354312792084224,0.03124,60.75298,ROT
Gaia DR3 2847991027271909632,0.03128,22.41723,ROT
Gaia DR3 529170143016394752,0.03147,69.26307,E
ASASSN-V J000007.56+734149.4,0.03147,73.69709,SR
Gaia DR3 2416149627780918656,0.03148,-14.9345,VAR
Gaia DR3 2875547022047451264,0.03163,35.58506,RRC
SERIV 27,0.03171,34.67397,RRAB
Gaia DR3 394062497798652160,0.03179,51.10083,VAR
Gaia DR3 2846282592360631168,0.03186,19.72223,ROT
Gaia DR3 423294217014947584,0.03196,59.82411,ROT
ZTF J000007.67+584033.4,0.03198,58.67595,EW
Gaia DR3 423300229969139200,0.03216,59.86201,ROT
Gaia DR3 431630851623172096,0.03232,63.90737,S
ZTF J000007.76+522540.1,0.03236,52.42781,EA
Gaia DR3 2880184525870542592,0.0324,36.85595,S
Gaia DR3 4972331643431287936,0.03242,-53.00283,ROT
Gaia DR3 2882296790787494912,0.03242,41.5655,ROT
Gaia DR3 396129197397099008,0.03261,52.82421,VAR
Gaia DR3 393886197979914240,0.03275,49.92881,ROT
ASASSN-V J000007.90+585242.8,0.03291,58.87855,SR
Gaia DR3 4976549434458092544,0.03304,-50.75741,ROT
Gaia DR3 396304986122186752,0.03312,53.9653,ROT
Gaia DR3 396137856051433600,0.03312,53.00201,S
Gaia DR3 420908306837861888,0.03329,56.13072,L
ZTF J000007.99+385106.9,0.03331,38.85194,EW
Gaia DR3 432195279037134848,0.03332,65.40861,L
ZTF J000008.00+681718.7,0.03334,68.28855,BY
Gaia DR3 396305638957315328,0.03344,54.02178,ROT
Gaia DR3 420476649747703168,0.03345,55.10692,ROT
Gaia DR3 393352213280291456,0.03349,48.6687,ROT
ZTF J000008.08+604248.6,0.0337,60.71351,EA
ZTF J000008.13+681605.1,0.03391,68.26811,EW
Gaia DR3 429486219828496128,0.03391,61.30002,ROT
Gaia DR3 2746633686033030272,0.03405,7.25678,ROT
Gaia DR3 393466012737110400,0.03405,49.20132,ROT
Gaia DR3 393921794669480960,0.03412,50.33627,ROT
Gaia DR3 2306374554366566144,0.03424,-39.23839,DSCT|GDOR|SXPHE
Gaia DR3 394018001936903168,0.03426,50.48472,ROT
Gaia DR3 2767453793402143104,0.0343,14.22503,ROT
