id_objeto,nombre_vsx,clase_variable,ra_x,dec_x,tic_id,tic_ra,tic_dec,origen_etiqueta,clase_variable_normalizada,ra_y,dec_y
TIC_MISSING,Gaia DR3 2429329645461757440,RS,3.67458,-8.33345,408013451.0,3.67458281551465,-8.33345292948153,VSX,RS_CVn,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2429391046314240512,DSCT|GDOR|SXPHE,3.67637,-8.04474,408013393.0,3.67637345461758,-8.04474215646352,VSX,Delta_Scuti,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2428300914895313664,ROT,3.70117,-9.81859,408013714.0,3.7011748520447494,-9.818593943850487,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,ASASSN-V J001448.52-081545.1,EA,3.7022,-8.26256,408013435.0,3.70221057219768,-8.262558035964748,VSX,EA,2.30823781131184,6.09139982704864
TIC_MISSING,HIP 1191,VAR,3.7271,-9.5696,408013666.0,3.72715218042537,-9.56956386124316,VSX,Irregular,2.30823781131184,6.09139982704864
TIC_MISSING,CSS_J001502.3-080329,EW,3.75987,-8.05819,408013395.0,3.7599168097482094,-8.05825511417925,VSX,EW,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2428516041216656768,ROT,3.77839,-9.00618,408013573.0,3.77838854982464,-9.00618099452696,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,CSS_J001507.0-080508,RRAB,3.77919,-8.08578,408013397.0,3.7792360494232895,-8.08589278762688,VSX,RR_Lyrae,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2428296516848805888,RS,3.7889,-9.89097,408014538.0,3.7888998063394497,-9.89097408800427,VSX,RS_CVn,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2428339844478907264,RS,3.8081,-9.62295,408014589.0,3.80810053676648,-9.62295288931571,VSX,RS_CVn,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2429309545014829056,ROT,3.814,-8.56734,408014793.0,3.8139999159053697,-8.56734181811801,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2428327676835433472,L,3.85693,-9.6761,408014577.0,3.85690800195571,-9.67607165120701,VSX,L,2.30823781131184,6.09139982704864
TIC_MISSING,CSS_J001531.7-084634,EW,3.88229,-8.77622,408014750.0,3.88226477553608,-8.77583060697118,VSX,EW,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2430841370870317440,DSCT|GDOR|SXPHE,3.89081,-8.08038,408014870.0,3.8908051347585695,-8.08037594638012,VSX,Delta_Scuti,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2429335143019922816,RS,3.89529,-8.21489,408014851.0,3.8952919625840896,-8.21488809915259,VSX,RS_CVn,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2428107125970469504,ROT,3.90175,-9.99109,408014517.0,3.90175119556994,-9.991093534615741,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2428323729761617152,ROT,3.94604,-9.73075,37716482.0,3.9460376254157694,-9.73075334178536,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2428565313081520256,ROT,4.16129,-8.46085,37718854.0,4.1612831255474,-8.460849381150798,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,ASASSN-V J001649.30-085159.7,ROT,4.20546,-8.86651,37718785.0,4.20545647566349,-8.86650911098695,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,CSS_J001733.0-084605,RRC,4.3875,-8.76819,37744983.0,4.38756126558145,-8.768130898850478,VSX,RR_Lyrae,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2430062160723582208,ROT,4.4677,-8.46648,37746155.0,4.46769525405276,-8.466483412856212,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,CSS_J001756.0-095407,RRC,4.48371,-9.90197,37745907.0,4.48382908655316,-9.90209686032029,VSX,RR_Lyrae,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2428226727923878272,RS,4.7676,-9.58133,37749330.0,4.76760091165948,-9.58133349441222,VSX,RS_CVn,2.30823781131184,6.09139982704864
TIC_MISSING,iot Cet,VAR,4.85696,-8.82392,37749213.0,4.85697416042614,-8.82391342768594,VSX,Irregular,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765254465203708928,L,0.52493,10.08568,611190294.0,0.524919518480351,10.0856927489854,VSX,L,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765459627201438464,L,0.83847,10.96411,611192042.0,0.838614339364609,10.9643278269489,VSX,L,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2765860811508091648,RS,1.20353,11.52161,611194234.0,1.20344155797888,11.5209777529954,VSX,RS_CVn,2.30823781131184,6.09139982704864
TIC_MISSING,Gaia DR3 2766080473315686272,ROT,0.54044,11.81295,403020955.0,0.540443702551149,11.8129452880098,VSX,Rotational,2.30823781131184,6.09139982704864
TIC_MISSING,ASAS J000554+1128.3,DSCT,1.47617,11.47247,403023260.0,1.47618834299425,11.4724890510766,VSX,Delta_Scuti,2.30823781131184,6.09139982704864
